List,Name,Note,Categoria,Genero,Descrição
1,Dragon ball z,9.0 ⭐,Anime,Shounen,"é uma série de anime japonesa, continuação da série original Dragon Ball, que segue as aventuras de Goku na sua vida adulta enquanto ele protege a Terra de diversas ameaças intergalácticas"
2,Naruto,9.2 ⭐,Anime,Shounen,"Ele é um jovem ninja da Vila Oculta da Folha que sonha em se tornar Hokage, o líder da vila. Naruto é conhecido por sua personalidade extrovertida, sua determinação inabalável e sua capacidade de inspirar aqueles ao seu redor."
3,Avatar,8.0 ⭐,Desenho,Aventura/Fantasia,"Ele é um Nômade do Ar, o último de sua espécie, e a atual encarnação do Avatar, um espírito em forma humana com a responsabilidade de manter a paz e o equilíbrio entre as quatro nações do mundo: Água, Terra, Fogo e Ar"
4,Yu-gi-oh,8.1 ⭐,Anime,Aventura/Fantasia,"gira em torno de duelos de monstros onde os jogadores usam cartas de monstro, magia e armadilha para derrotar seus oponentes"
5,Zatch bell,7.9 ⭐,Anime,Aventura/Fantasia,"é um anime e mangá sobre um menino mamodo chamado Zatch, que chega à Terra sem memórias de seu mundo, e seu parceiro humano, Kiyo Takamine"
6,Akami ga kill,8.5 ⭐,Anime,Shounen,um jovem que viaja para a capital em busca de dinheiro para sua vila e acaba se juntando ao grupo de assassinos Night Raid para lutar contra a corrupção do império
7,Nanatsu no Taizai,7.5 ⭐,Anime,Shounen,"A história se passa em um mundo parecido com a Idade Média europeia, onde a princesa Elizabeth busca ajuda dos lendários cavaleiros conhecidos como os Sete Pecados Capitais para salvar o Reino de Liones de um golpe de estado"
8,Fullmetal Alchemist,9.5 ⭐,Anime,Shounen,que conta a história dos irmãos Edward e Alphonse Elric em busca da Pedra Filosofal para restaurar seus corpos após uma tentativa fracassada de transmutação humana
9,Shokugeki no Souma,8.0 ⭐,Anime,Shounen,"a história de Sōma Yukihira, um jovem determinado a se tornar um chef melhor que seu pai e superar seu restaurante familiar"
10,Sword Art Online,8.2 ⭐,Anime,Aventura/Fantasia,"é uma série de light novels escrita por Reki Kawahara e ilustrada por abec, que se passa em um futuro próximo com jogos de realidade virtual de MMORPG"
11,Bleach,8.0 ⭐,Anime,Shounen,"segue as aventuras de Ichigo Kurosaki, um estudante que ganha poderes de Shinigami (Ceifeiro de Almas) e passa a proteger os humanos de espíritos malignos chamados Hollows"
12,Code Geass,9.3 ⭐,Anime,Sci-fi/Action,"série de anime japonesa que se passa em um futuro alternativo onde o Sacro Império Britânico conquistou o Japão, renomeando-o como Área 11"
13,Overlord,7.8 ⭐,Anime,Isekai,"série de light novels, mangá e anime que acompanha a história de Momonga, um jogador de um jogo de realidade virtual chamado Yggdrasil que se vê preso no mundo virtual após o jogo ser desativado, junto com seus personagens não jogáveis (NPCs)"
14,Ao no Exorcist,7.2 ⭐,Anime,Mitologia/Escolar,"é uma série de mangá e anime que narra a história de Rin Okumura, um jovem que descobre ser filho de Satanás"
15,No Game No Life,9.0 ⭐,Anime,Isekai,"A história gira em torno de Rin Okumura, um jovem que descobre ser filho de Satanás e decide se tornar um exorcista para combater seu pai demoníaco"
16,Pokemon,8.4 ⭐,Anime,Aventura/Fantasia,"é uma franquia de mídia japonesa, criada por Satoshi Tajiri em 1995, centrada em criaturas fictícias chamadas ""Pokémon"""
17,Inazuma Eleven,9.0 ⭐,Anime,Sports,"é uma franquia japonesa criada pela Level-5, que engloba jogos de RPG de futebol, anime, mangá e outros produtos relacionados"
18,One Punch-Man,9.0 ⭐,Anime,Comedia,"é um mangá e anime que conta a história de Saitama, um super-herói tão poderoso que derrota seus inimigos com um único soco, o que o leva a um estado de tédio e busca por desafios"
19,Saint Seiya,8.0 ⭐,Anime,Aventura/Fantasia,"A história segue um grupo de jovens guerreiros, os Cavaleiros, que lutam em nome da deusa Atena, protegendo a Terra de ameaças divinas e malignas"
20,Digimon,7.9 ⭐,Anime,Isekai,"é uma franquia japonesa de mídia que engloba brinquedos virtuais para animais de estimação, animes, mangás, videogames e um jogo de cartas colecionáveis"
21,Death note,9.0 ⭐,Anime,Suspense/Sobrenatural,"é um mangá e anime que segue a história de Light Yagami, um estudante brilhante que encontra um caderno sobrenatural, o Death Note, que tem o poder de matar qualquer pessoa cujo nome seja escrito nele, desde que o escritor visualize mentalmente o rosto da pessoa"
22,Medaka Box,9.0 ⭐,Anime,Comedia/Action,"A história segue o Conselho Estudantil da Academia Hakoniwa, liderado por Medaka Kurokami e Zenkichi Hitoyoshi, enquanto eles enfrentam diversos desafios e aventuras para atender às sugestões dos alunos e melhorar a escola"
23,One Piece,9.5 ⭐,Anime,Shounen,"é um mangá e anime criado por Eiichiro Oda, que conta a história de Monkey D. Luffy, um jovem com poderes de borracha que busca o lendário tesouro conhecido como One Piece e pretende se tornar o Rei dos Piratas"
25,Yin Yang Yo,6.0 ⭐,Desenho,Luta,"é uma série animada que conta a história de dois jovens coelhos gêmeos, Yin e Yang, que treinam artes marciais com o Mestre Yo, um panda rabugento, para se tornarem guerreiros Woo Foo"
26,Sonic X,6.3 ⭐,Anime,Comedia/Aventura,"é um anime baseado na franquia de jogos Sonic the Hedgehog, que conta a história de Sonic e seus amigos que são transportados para a Terra após um acidente com o Doutor Eggman e suas tentativas de controlar o poder das Esmeraldas do Caos"
27,As Aventuras de Jackie Chan,7.5 ⭐,Desenho,Ação/Comedia,é uma série animada americana que segue uma versão fictícia do astro de ação Jackie Chan
